Date,Type,Tx,Buy,Sell,BuyUnits,SellUnits
2019-02-16T15:13:08.000Z,Withdrawal,0x7a39e192e8f0fff2dd76ec338cb5cc358b3065f8ff66a9e091f40b285bbdcd28,,ETH,,2
2019-02-17T22:24:49.000Z,Withdrawal,0x7be90fbdc614708a5b09450547bef64d1c04b480a53731c948102fb04f08406a,,ETH,,0.09
2019-02-17T22:26:16.000Z,Withdrawal,0x808ede887c88cf8c68f03af5dbafdeaf48d82eb0483a96a62459cfa4becaf2de,,ETH,,0.09
2019-02-23T19:46:25.000Z,Withdrawal,0x68140d0817ae37acd75b4b97c35e742bf067db0949fb744e839b89196a4b6bd0,,ETH,,1500
2019-03-01T01:42:11.000Z,Withdrawal,0x3c1300b8a25118c5f6fb1219106a1a35c52b2b7d440120819f8c97537d41c4fb,,ETH,,10
2019-03-01T01:42:11.000Z,Withdrawal,0x3c1300b8a25118c5f6fb1219106a1a35c52b2b7d440120819f8c97537d41c4fb,,FOAM,,52901.588901508105
2019-03-01T01:54:48.000Z,Deposit,0xbd1223e8be42b4ccacd09de8f36cc2d6a5356da36fa3f052114f6122f742be22,TUSD,,50000.19,
2019-03-01T02:00:19.000Z,Withdrawal,0xbfe9682b4e216d577b5a166171805e7fb8be0ddf5b6d2cf4649843504ac73c10,,ETH,,364
2019-03-01T02:00:19.000Z,Withdrawal,0xbfe9682b4e216d577b5a166171805e7fb8be0ddf5b6d2cf4649843504ac73c10,,TUSD,,50000
2019-03-01T17:51:23.000Z,Deposit,0xb9fd16bfb5774218a00d2a87c12a030996b3947bb068f8c334456f542683fe57,TUSD,,59468.19,
2019-03-01T18:08:27.000Z,Withdrawal,0xf35a777b395c20502dfe08cbec9eded630b0abcccb87ae8ba1d8f9276825d66d,,ETH,,437.7660285
2019-03-01T18:08:27.000Z,Withdrawal,0xf35a777b395c20502dfe08cbec9eded630b0abcccb87ae8ba1d8f9276825d66d,,TUSD,,59468.37999678193
2019-03-01T22:38:20.000Z,Withdrawal,0xb487f461a7506504712a8b29b191b63ad9153d3e58114b0e9fda9f9620813426,,ETH,,500
2019-03-02T18:14:21.000Z,Deposit,0xe2ea659e08ae925d8a9a14435e95f636c66673d080391825b941ebbdd594739c,ETH,,62.06951,
2019-03-02T18:38:32.000Z,,0x5367d29a980018a4e8e7d2781a68d24e30814b7084d7b6d73f8d8b9a1adb23aa,ETH,LPT,0.09829114680400726,2.143990896045566
2019-03-03T17:00:51.000Z,Deposit,0x985ce20a4a2fc3ccfd68b1b7a7234da2eb5bb9fe3b812777b3940bf49d72ebf5,TUSD,,109775.2,
2019-03-03T17:04:55.000Z,Deposit,0xf9d0a952783920e58eeb9a744e6d69d2a68c73a41127ae808f01eab5501eda0a,ETH,,2000,
2019-03-03T17:14:12.000Z,Withdrawal,0x3babf5bb721ab29c06ef5a56acbd80200ab27814707a5f7ff2c8d4eaec3e5c53,,ETH,,833.5252065
2019-03-03T17:14:12.000Z,Withdrawal,0x3babf5bb721ab29c06ef5a56acbd80200ab27814707a5f7ff2c8d4eaec3e5c53,,TUSD,,109775.19999793418
2019-03-04T18:17:12.000Z,Deposit,0x2c2dd73a4dcd7e169ff01f7094ed849215d8154e9dea2f24227800e7b3ce6157,SAI,,2930,
2019-03-05T06:34:35.000Z,Withdrawal,0x5d8456e10eeb20af7a6842e15e1affcc089d02d9de730bc909379d587cf6fcc8,,ETH,,750
2019-03-05T07:47:36.000Z,Withdrawal,0x6ad7d691992428e208d00aef5f9e3c19105b5fec540588c1929f92ca220d6689,,ETH,,514.1535936
2019-03-06T13:08:48.000Z,Withdrawal,0xa80c15594b32276a3a3c01a30a88bf8a3dc93e67de65fc7fcb65580231b3780d,,ETH,,0.1
2019-03-06T13:40:10.000Z,Withdrawal,0xdf70c9083352f45bde6e63d1d6f0c7e9b3547ad38b0350fd55d1fb484f78a7b2,,ETH,,354.5518191
2019-03-06T13:43:15.000Z,Withdrawal,0x78ed2737182ffab4aa79d56f71566b2d41ed6ee32624b8aeeb2ef330d2050efb,,ETH,,354.5518191
2019-03-06T22:02:18.000Z,Withdrawal,0x0e3e2db08edd00c0dd6f8acd1dbad54b501d4c0e1a3e555106dadfc1f7c2150c,,ETH,,325.5289041
2019-03-06T22:07:13.000Z,Withdrawal,0x4cd8133404642cb7dd5ab352787ff0e7ff591dac78bea313c0ba9c0da4e9ef7a,,ETH,,35.0847819
2019-03-06T22:09:24.000Z,,0x3889c35a2eeff8bbf0be7b1292cffc3d904f37de3a2aa66a896cd80c30f6d03e,ETH,ETH,0.026374577684299138,1.0813566525
2019-03-06T22:10:43.000Z,Withdrawal,0x7fb9bd4f2c084be0c77d7d8b80d0da4d5d2d50e6989a1ba8b654268b542d1cca,,ETH,,2.109449
2019-03-07T03:56:40.000Z,Withdrawal,0xfbdf3b2ab3ec238e05b169359f6bfa839e0640b817e3db9d7a3e36bedd4e3f06,,SAI,,1500
2019-03-07T03:57:43.000Z,Withdrawal,0xb5b810ca405d6b715469faa9ed9df83b464d7c27e9e6f216f92b87495db5d5d8,,SAI,,1430
2019-03-07T18:24:58.000Z,Withdrawal,0x13fd83e59858f97c8deac10f578b485c5f33fc267923983a942700c2b5324830,,ETH,,0.001
2019-03-07T18:27:06.000Z,Deposit,0xf10c06970039c8f4264d8e0bb52687487d43017c1af47459da4b2ee5350da21d,SAI,,0.99,
2019-03-07T21:16:20.000Z,Withdrawal,0x0556652f5d221d98ab95d2c3f916527cb8830d0be4f3607b9a6c4f54ebe296fe,,ETH,,34.4993504
2019-03-13T01:03:19.000Z,Deposit,0x4b3495be14a2da0dfccbc249ba9dee5676a90bd0d73ce730407bdb27c2a2780f,ETH,,999.99,
2019-03-13T02:54:52.000Z,Deposit,0xe5fde79a010e0ecb7affdab42d731ee5afd0dd8c467f8ec258fb6c9d4feaed9f,ETH,,971.79201378,
2019-03-16T07:42:45.000Z,Deposit,0x47bac4953ca070e4e5a4dfb87bf55627a2cc9d252228a454ab16b38f558f04a0,SAI,,1430.9349296931973,
2019-03-19T13:58:38.000Z,Withdrawal,0x9285cc07e643e6ff455142c48b72cea48ff9ef3a07d05178fefa11127c4e2588,,ETH,,33.6210381
2019-03-20T00:54:46.000Z,Withdrawal,0xc59744144ee6d03d1c548e83bc1010b0c4143d5d73cf70f1ad5ec8b1ffa30885,,ETH,,14.12
2019-03-20T18:28:16.000Z,Deposit,0x388e398877e6d9b5a9c17658fe9ddd1d86868cf1b6b48c54a95397713b269ec1,ETH,,2448.43258134,
2019-03-21T15:11:51.000Z,Deposit,0xf700682e7b43d61f55154dd2f6acbbc5e83bb55be40a366ad4d0b049c5709dd6,ETH,,268.9,
2019-03-22T14:26:00.000Z,Withdrawal,0xaef27c1b97f6db5f19bf05e8699e36e1ef7275bafa52465a0ad5e814b7a7fd56,,SAI,,1431.9249
2019-03-22T15:03:26.000Z,Deposit,0x8a24f2af4f410ef1f78a37ab2af4f7d7110a1a0cdffe75b86c4f8f2d890a6f5a,SAI,,1431.9249,
2019-03-22T15:04:55.000Z,,0x1693f76f0be288f82b1f491043e2c9355f05f0127b7b35a3bfc0cfb2ed75ce95,WETH,SAI,10.170155982669241,1431.9249296931973
2019-03-26T18:18:57.000Z,Withdrawal,0x7ace8180d0a014ab76eed5a54165d058527a9049fa278cbff40f67b2b66ce884,,ETH,,10
2019-03-26T18:29:24.000Z,Withdrawal,0xaa907817c3bae6ed7c5ab793f35e01e39b1adec779fe701bf97ce6ad121cf696,,ETH,,12
2019-03-27T18:59:14.000Z,Withdrawal,0x616e3791c5deec1c12ef0605e2dc0059b9221c744a6c53926939b904d6d4f649,,ETH,,36.3
2019-03-31T00:19:30.000Z,Deposit,0xe7fce6d22fbca250f114a1a9266169c3b5c8b68b12d3037c4ad6dd48832c6347,SAI,,1508.5282308757137,
